text	label
walk me through the steps involved in changing my oil	oil_change_how
what kind of fuel does my vehicle run on	gas_type
i lost my luggage coming from new york city on american flight ab123	lost_luggage
what to do if i lost my luggage	lost_luggage
is it possible to use sausage instead of hot dog	ingredient_substitution
i need to do laundry later today	todo_list_update
what amount do i have to pay in taxes	taxes
help me add this song to my country music playlist	update_playlist
do a websearch for direct deposit set up	direct_deposit
i'm afraid i've forgotten the pin for my 401k account	pin_change
what are the reviews like at minnis	restaurant_reviews
switch to male british accent	change_accent
where do i go to look at my credit score	credit_score
ai, what is your given name	what_is_your_name
create a reminder to pay taxes on monday	reminder_update
i gotta know what the traffic is like on the way to phoenix	traffic
please let me know what the status of my day off request is	pto_request_status
tell me the interest for my savings account	interest_rate
what do i need to gas up this car	gas_type
pay my cable bill directly from my checking account	pay_bill
if i lose my credit card, will i get a replacement immediately	replacement_card_duration
i have points on my capital one card and i'd like to know how many i've earned	rewards_balance
change back to factory settings	reset_settings
can you please help me start the car	smart_home
help me and let me know when i should replace my tires next if i last replaced them on june 2	tire_change
volume set to 4	change_volume
can you tell me where flight dl123 is	flight_status
i need someone to look at my car and tell me why the light is on	schedule_maintenance
i need to know the conversion between tablespoons and teaspoons	measurement_conversion
how do i go about renting a car	car_rental
please remove the phone's sync	sync_device
what is the way i can change my oil	oil_change_how
when is my next oil change due	oil_change_when
can i get more checkbooks for my bank of america checkings account	order_checks
i don't know why my check engine light is on, i need a mechanic	schedule_maintenance
can you increase the speaker volume please	change_volume
please let me know the status of my vacation request	pto_request_status
what kind of gas should go in this car	gas_type
is my reservation confirmed for lu shi at 7 pm	confirm_reservation
how do vietnameses people say hello	translate
how much do i have in my savings account	balance
can you calculate my state taxes	taxes
goodbye, ai assistant	goodbye
any new info on my vacation	pto_request_status
is my order on its way or what's going on	order_status
provide a random roll of the dice	roll_dice
i want to know fun facts about koala bears	fun_fact
can you set a timer for two minutes	timer
when do i need to pay my annual payment for auto insurance	bill_due
are you working for another person or entity	who_do_you_work_for
who do i contact for a w2 form	w2
what is the track title of the song playing	what_song
define monetary for me please	definition
tell me if i can get a higher limit on my visa	credit_limit_change
add clean bathroom to my to do list	todo_list_update
what ingredients do i need to make salmon salad	ingredients_list
what does it look like i will be paying in federal taxes this year	taxes
i need to talk to someone about a transaction that was not made by me on my chase account	report_fraud
what do i do if my car battery is dead	jump_start
what ingredients are in sushi	ingredients_list
for toby's, is it busy around six	how_busy
what am i listening to	what_song
can you use male voice	change_accent
please reserve a meeting room for 1:00 pm on tuesday	schedule_meeting
how long ago did i take my car to the shop	last_maintenance
i want a timer set	timer
do you know anything funny about cats	tell_joke
do i need to get any shots before i travel to spain	vaccines
i need to know the status of flight dl123	flight_status
i need to report that my dog chewed up my card	damaged_card
what are delta's carry-on restrictions	carry_on
my card is cracked, please tell the card company	damaged_card
tell me the timezone las vegas is in	timezone
can you tell me when my tires should get changed	tire_change
my gps coordiantes will be shared with aunt sunny	share_location
i don't want you connected to my phone anymore	sync_device
what's the nutritional info for chicken breast	nutrition_info
i wanna know my car's tire pressure	tire_pressure
i need to make a reminder please	reminder_update
abort	cancel
do you know if bahama breeze does reservations	accept_reservations
when will my next vacation day be	next_holiday
start playing my black metal playlist	play_music
when were you made	how_old_are_you
that's all i need, i'm going now	goodbye
is respond to the professor's email on my list of reminders	reminder
could you help me find the interest on my chase account	interest_rate
bring up my location	current_location
whats the timezone for modesto	timezone
how do i order new checks	order_checks
how many calories are in oranges	calories
what's the timezone for boston	timezone
do i need to apply for a visa to visit dnipro	international_visa
do they accept reservations at michael's	accept_reservations
what is the point of life	meaning_of_life
do i have carrots on my shopping list	shopping_list
i need you to talk to me about your hobbies	what_are_your_hobbies
please inform me on my current vacation request status	pto_request_status
how many more weeks until the next holiday	next_holiday
which days did i take off work	pto_used
do you work for anyone else	who_do_you_work_for
i need you to buy a laptop	order
i want to know if i shouldget a tourist visa for italy	international_visa
who knows	maybe
please order me everything that is on my shopping list	order
how many teaspoons in one tablespoon	measurement_conversion
please roll a die now	roll_dice
can you cancel my dinner reservation	cancel_reservation
what tune is this	what_song
how can i redeem the points i've earned with my credit card	redeem_rewards
when did i get my car inspected last	last_maintenance
i got to remove fishing from my calendar for soccer	calendar_update
will i pay over $500 in federal taxes	taxes
how many carry ons can i take on a flight with delta to seattle	carry_on
do i already have cereal on my shopping list	shopping_list
what's the exchange rate between dollars and pesos	exchange_rate
what is the tire pressure of the car	tire_pressure
what timezone is melbourne in	timezone
will pepper work instead of salt	ingredient_substitution
find my cellphone	find_phone
please reset your factory settings	reset_settings
what is the wait time at applebee's	how_busy
text someone	text
how can i increase my credit score	improve_credit_score
on account ending in 3838 change my pin to 1234	pin_change
certainly not	no
am i able to apply for a new credit card	new_card
i wanna get some new checks cause i ran out of them	order_checks
if i want to travel to mexico do i need to get a visa	international_visa
i want to find out what my credit score is	credit_score
i want to add a doctor's visit to the calendar for friday	calendar_update
can you reserve a meeting space for 4:00 on thursday	schedule_meeting
how many miles are my tires rated for	tire_change
does this take regular unleaded	gas_type
will you add a reminder for me	reminder_update
what is life's purpose	meaning_of_life
how much is the minimum payment on my chase card	min_payment
i want to know whether or not you are a pet owner	do_you_have_pets
now reset your factory settings	reset_settings
we have a table at the taco bell under bowie we need to release	cancel_reservation
do you remember my name	user_name
how much money do i pay in taxes	taxes
who is responsible for who you are	who_made_you
thanks, that's helpful	thank_you
which countries have travel alerts	travel_alert
can you set a reminder alarm for me to workout	reminder_update
i need to apply for a new credit card that will match my needs	new_card
it was nice to speak with you	goodbye
can you tell me where to get a w2	w2
in one cookie, how many calories would i find	calories
i'm thinking someone may have used my card in a fraudulent way	report_fraud
my luggage is lost,what do i do now	lost_luggage
