@relation Training

@attribute Bit0 {0,1}
@attribute Bit1 {0,1}
@attribute Bit2 {0,1}
@attribute Bit3 {0,1}
@attribute Bit4 {0,1}
@attribute Bit5 {0,1}
@attribute Bit6 {0,1}
@attribute Bit7 {0,1}
@attribute Bit8 {0,1}
@attribute Bit9 {0,1}
@attribute Bit10 {0,1}
@attribute Bit11 {0,1}
@attribute Bit12 {0,1}
@attribute Bit13 {0,1}
@attribute Bit14 {0,1}
@attribute Bit15 {0,1}
@attribute Bit16 {0,1}
@attribute Bit17 {0,1}
@attribute Bit18 {0,1}
@attribute Bit19 {0,1}
@attribute Bit20 {0,1}
@attribute Bit21 {0,1}
@attribute Bit22 {0,1}
@attribute Bit23 {0,1}
@attribute Bit24 {0,1}
@attribute Bit25 {0,1}
@attribute Bit26 {0,1}
@attribute Bit27 {0,1}
@attribute Bit28 {0,1}
@attribute Bit29 {0,1}
@attribute Bit30 {0,1}
@attribute Bit31 {0,1}
@attribute Bit32 {0,1}
@attribute Bit33 {0,1}
@attribute Bit34 {0,1}
@attribute Bit35 {0,1}
@attribute Bit36 {0,1}
@attribute Bit37 {0,1}
@attribute Bit38 {0,1}
@attribute Bit39 {0,1}
@attribute Bit40 {0,1}
@attribute Bit41 {0,1}
@attribute Bit42 {0,1}
@attribute Bit43 {0,1}
@attribute Bit44 {0,1}
@attribute Bit45 {0,1}
@attribute Bit46 {0,1}
@attribute Bit47 {0,1}
@attribute Bit48 {0,1}
@attribute Bit49 {0,1}
@attribute Bit50 {0,1}
@attribute Bit51 {0,1}
@attribute Bit52 {0,1}
@attribute Bit53 {0,1}
@attribute Bit54 {0,1}
@attribute Bit55 {0,1}
@attribute Bit56 {0,1}
@attribute Bit57 {0,1}
@attribute Bit58 {0,1}
@attribute Bit59 {0,1}
@attribute Bit60 {0,1}
@attribute Bit61 {0,1}
@attribute Bit62 {0,1}
@attribute Bit63 {0,1}
@attribute Bit64 {0,1}
@attribute Bit65 {0,1}
@attribute Bit66 {0,1}
@attribute Bit67 {0,1}
@attribute Bit68 {0,1}
@attribute Bit69 {0,1}
@attribute Bit70 {0,1}
@attribute Bit71 {0,1}
@attribute Bit72 {0,1}
@attribute Bit73 {0,1}
@attribute Bit74 {0,1}
@attribute Bit75 {0,1}
@attribute Bit76 {0,1}
@attribute Bit77 {0,1}
@attribute Bit78 {0,1}
@attribute Bit79 {0,1}
@attribute Bit80 {0,1}
@attribute Bit81 {0,1}
@attribute Bit82 {0,1}
@attribute Bit83 {0,1}
@attribute Bit84 {0,1}
@attribute Bit85 {0,1}
@attribute Bit86 {0,1}
@attribute Bit87 {0,1}
@attribute Bit88 {0,1}
@attribute Bit89 {0,1}
@attribute Bit90 {0,1}
@attribute Bit91 {0,1}
@attribute Bit92 {0,1}
@attribute Bit93 {0,1}
@attribute Bit94 {0,1}
@attribute Bit95 {0,1}
@attribute Bit96 {0,1}
@attribute Bit97 {0,1}
@attribute Bit98 {0,1}
@attribute Bit99 {0,1}
@attribute Bit100 {0,1}
@attribute Bit101 {0,1}
@attribute Bit102 {0,1}
@attribute Bit103 {0,1}
@attribute Bit104 {0,1}
@attribute Bit105 {0,1}
@attribute Bit106 {0,1}
@attribute Bit107 {0,1}
@attribute Bit108 {0,1}
@attribute Bit109 {0,1}
@attribute Bit110 {0,1}
@attribute Bit111 {0,1}
@attribute Bit112 {0,1}
@attribute Bit113 {0,1}
@attribute Bit114 {0,1}
@attribute Bit115 {0,1}
@attribute Bit116 {0,1}
@attribute Bit117 {0,1}
@attribute Bit118 {0,1}
@attribute Bit119 {0,1}
@attribute Bit120 {0,1}
@attribute Bit121 {0,1}
@attribute Bit122 {0,1}
@attribute Bit123 {0,1}
@attribute Bit124 {0,1}
@attribute Bit125 {0,1}
@attribute Bit126 {0,1}
@attribute Bit127 {0,1}
@attribute Bit128 {0,1}
@attribute Bit129 {0,1}
@attribute Bit130 {0,1}
@attribute Bit131 {0,1}
@attribute Bit132 {0,1}
@attribute Bit133 {0,1}
@attribute Bit134 {0,1}
@attribute Bit135 {0,1}
@attribute Bit136 {0,1}
@attribute Bit137 {0,1}
@attribute Bit138 {0,1}
@attribute Bit139 {0,1}
@attribute Bit140 {0,1}
@attribute Bit141 {0,1}
@attribute Bit142 {0,1}
@attribute Bit143 {0,1}
@attribute Bit144 {0,1}
@attribute Bit145 {0,1}
@attribute Bit146 {0,1}
@attribute Bit147 {0,1}
@attribute Bit148 {0,1}
@attribute Bit149 {0,1}
@attribute Bit150 {0,1}
@attribute Bit151 {0,1}
@attribute Bit152 {0,1}
@attribute Bit153 {0,1}
@attribute Bit154 {0,1}
@attribute Bit155 {0,1}
@attribute Bit156 {0,1}
@attribute Bit157 {0,1}
@attribute Bit158 {0,1}
@attribute Bit159 {0,1}
@attribute Bit160 {0,1}
@attribute Bit161 {0,1}
@attribute Bit162 {0,1}
@attribute Bit163 {0,1}
@attribute Bit164 {0,1}
@attribute Bit165 {0,1}
@attribute Bit166 {0,1}
@attribute Bit167 {0,1}
@attribute Bit168 {0,1}
@attribute Bit169 {0,1}
@attribute Bit170 {0,1}
@attribute Bit171 {0,1}
@attribute Bit172 {0,1}
@attribute Bit173 {0,1}
@attribute Bit174 {0,1}
@attribute Bit175 {0,1}
@attribute Bit176 {0,1}
@attribute Bit177 {0,1}
@attribute Bit178 {0,1}
@attribute Bit179 {0,1}
@attribute Bit180 {0,1}
@attribute Bit181 {0,1}
@attribute Bit182 {0,1}
@attribute Bit183 {0,1}
@attribute Bit184 {0,1}
@attribute Bit185 {0,1}
@attribute Bit186 {0,1}
@attribute result {0,1}

@data
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,1,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,0,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,1,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,1,1,1,1,0,1,0,0,1,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0
1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,0
1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,1,1,0,1,0,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0
0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,1,0,0,1,0,1,0,0
0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,1
0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,1,1,1,1,0
1,1,0,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,1,1,1,0,0,1,1,0,0,0,1,1,1,0,1,0,0,0,1,0
