@relation 'german-weka.filters.unsupervised.attribute.Remove-R11,13,15,19,21-23'

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr12 numeric
@attribute attr14 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr20 numeric
@attribute attr24 numeric
@attribute class {1,2}

@data
0,0,1,0,1,1,1,1,0,1,1,1,0,0,1,0,1,1
0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2
1,0,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1
0,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,1,1
1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,0,0,1
1,0,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,1
0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1
1,0,0,0,1,1,0,1,0,1,0,0,0,0,1,0,0,1
0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,2
0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2
0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,1
0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2
0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,2
1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,0,1,1
0,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,1
0,0,0,1,0,1,0,0,1,1,0,1,0,1,1,0,0,2
1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,1,1
0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,1
0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,1,0,1
0,0,1,0,0,0,1,1,1,1,0,0,0,1,1,0,1,1
0,0,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1
